"Address Line 1",City,State,Zip,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"2548 N ORANGE BLOSSOM TRAIL #400",ORLANDO,FL,32804,28.574191,-81.407109,1,rooftop,2548,"N Orange Blossom Trl",Ste,400,Orlando,FL,"Orange County",32804,US,"Orange County"
"4245 SUN N LAKE BLVD",SEBRING,FL,33872,27.53755,-81.50763,1,rooftop,4245,"Sun N Lake Blvd",,,Sebring,FL,"Highlands County",33872,US,Statewide2
"14965 OLD ST AUGUSTINE RD UNIT 114",JACKSONVILLE,FL,32258,30.143445,-81.520308,1,rooftop,14965,"Old St Augustine Rd",Unit,114,Jacksonville,FL,"Duval County",32258,US,Duval
"9400 GLADIOLUS DR STE 200","FORT MYERS",FL,33908,26.520868,-81.909955,0.9,rooftop,9400/9420,"Gladiolus Dr",Ste,200,"Fort Myers",FL,"Lee County",33908,US,Lee
"10970 PINES BLVD.","PEMBROKE PINES",FL,33026,26.007757,-80.29402,1,range_interpolation,10970,"Pines Blvd",,,"Pembroke Pines",FL,"Broward County",33026,US,"TIGER/Line® dataset from the US Census Bureau"
"4970 SOUTH US HWY 17-92",CASSELBERRY,FL,32707,28.667713,-81.339762,1,rooftop,4970,"S US Hwy 17-92",,,Casselberry,FL,"Seminole County",32707,US,Seminole
"6848 ALOMA AVE","WINTER PARK",FL,32792,28.60654,-81.29759,1,rooftop,6848,"Aloma Ave",,,"Winter Park",FL,"Orange County",32792,US,Statewide2
"350 EAST NEW YORK AVENUE",DELAND,FL,32724,29.026904,-81.296602,1,rooftop,350,"E New York Ave",,,Deland,FL,"Volusia County",32724,US,"Volusia County"
"1190 E CHURCH ST",BARTOW,FL,33830,27.898793,-81.831128,1,rooftop,1190,"Church St E",,,Bartow,FL,"Polk County",33830,US,Polk
"9134 BONITA BEACH RD","BONITA SPRINGS",FL,34135,26.330739,-81.801835,1,range_interpolation,9134,"Bonita Beach Rd",,,"Bonita Springs",FL,"Lee County",34135,US,"TIGER/Line® dataset from the US Census Bureau"
"14 SUNTREE PLACE SUITE 102",MELBOURNE,FL,32940,28.227833,-80.680358,1,rooftop,14,"Suntree Pl",Ste,102,Melbourne,FL,"Brevard County",32940,US,Loveland
"4270 TAMIAMI TRAIL EAST SUITE 1",NAPLES,FL,34112,26.116022,-81.757255,1,rooftop,4270,"Tamiami Trl E",Ste,1,Naples,FL,"Collier County",34112,US,"Collier County"
"6901  OKEECHOBEE BLVD #D19","WEST PALM BEACH",FL,33411,26.710313,-80.150313,1,rooftop,6901,"Okeechobee Blvd",Ste,D19,"West Palm Beach",FL,"Palm Beach County",33411,US,"Palm Beach County"
"7170 W 20TH AVE",HIALEAH,FL,33016,25.886888,-80.326031,1,rooftop,7170,"W 20th Ave",,,Hialeah,FL,"Miami-Dade County",33016,US,Statewide2
"7140 W MCNAB RD",TAMARAC,FL,33321,26.20819,-80.2475,1,rooftop,7140,"W McNab Rd",,,Tamarac,FL,"Broward County",33321,US,Statewide2
"877 3RD STREET STE 2",CHIPLEY,FL,32428,30.76751,-85.54241,1,rooftop,877,"3rd St",Ste,2,Chipley,FL,"Washington County",32428,US,Statewide2
"750 S NORTH LAKE BLVD STE 1024","ALTAMONTE SPRINGS",FL,32701,28.652081,-81.386449,1,range_interpolation,750,"S North Lake Blvd",Ste,1024,"Altamonte Springs",FL,"Seminole County",32701,US,"TIGER/Line® dataset from the US Census Bureau"
"4705 N ARMENIA AVE",TAMPA,FL,33603,27.988249,-82.483872,1,rooftop,4705,"N Armenia Ave",,,Tampa,FL,"Hillsborough County",33603,US,Loveland
"1748 SW ST LUCIE WEST BLVD","PORT SAINT LUCIE",FL,34986,27.310853,-80.405023,1,rooftop,1748,"SW St Lucie West Blvd",,,"Port Saint Lucie",FL,"St. Lucie County",34986,US,"St Lucie"
"19801 HAMPTON DR","BOCA RATON",FL,33434,26.382171,-80.195566,1,rooftop,19801,"Hampton Dr",,,"Boca Raton",FL,"Palm Beach County",33434,US,"Palm Beach County"
"851 W VENTURA AVE",CLEWISTON,FL,33440,26.752136,-80.946217,0.9,range_interpolation,851,"W Ventura Ave",,,Clewiston,FL,"Hendry County",33440,US,"TIGER/Line® dataset from the US Census Bureau"
"1200 DELTONA BLVD STE 26",DELTONA,FL,32725,28.89598,-81.272651,1,rooftop,1200,"Deltona Blvd",Ste,26,Deltona,FL,"Volusia County",32725,US,"Volusia County"
"2620 WEST HWY 316",CITRA,FL,32113,29.366287,-82.171401,1,rooftop,2620,"W Hwy 316",,,Citra,FL,"Marion County",32113,US,Loveland
"745 W SR 434 STE A",LONGWOOD,FL,32750,28.699303,-81.356884,1,rooftop,745,"W Sr 434",Ste,434,Longwood,FL,"Seminole County",32750,US,Seminole
"36819 EILAND BLVD",ZEPHYRHILLS,FL,33542,28.245404,-82.20737,1,rooftop,36819,"Eiland Blvd",,,Zephyrhills,FL,"Pasco County",33542,US,Pasco
"45597 US HWY 27",DAVENPORT,FL,33897,28.255607,-81.65755,1,rooftop,45597,"Hwy 27",,,Davenport,FL,"Polk County",33897,US,Polk
"14600 NW 60TH AVE","MIAMI LAKES",FL,33014,25.906422,-80.300728,1,rooftop,14600,"NW 60th Ave",,,"Miami Lakes",FL,"Miami-Dade County",33014,US,"Miami-Dade County"
"7435 W GULF TO LAKE HWY","CRYSTAL RIVER",FL,34429,28.895577,-82.558194,1,rooftop,7435,"W Gulf To Lake Hwy",,,"Crystal River",FL,"Citrus County",34429,US,Statewide2
"775 GATEWAY DRIVE","ALTAMONTE SPRINGS",FL,32714,28.644816,-81.413458,1,rooftop,775,"Gateway Dr",,,"Altamonte Springs",FL,"Seminole County",32714,US,Loveland
"18004 NW 6TH STREET",HOLLYWOOD,FL,33029,26.009696,-80.385572,1,rooftop,18004,"NW 6th St",,,"Pembroke Pines",FL,"Broward County",33029,US,Broward
"1125 BRYN MAWR AVE","LAKE WALES",FL,33853,27.896267,-81.563321,1,rooftop,1125,"Bryn Mawr Ave",,,"Lake Wales",FL,"Polk County",33853,US,Polk
"1725 OAKHURST AVENUE SUITE 100",JACKSONVILLE,FL,32208,30.386168,-81.685147,1,rooftop,1725,"Oakhurst Ave",Ste,100,Jacksonville,FL,"Duval County",32208,US,Duval
"1680 NE 164TH ST","NORTH MIAMI BEACH",FL,33162,25.926651,-80.166495,1,rooftop,1680,"NE 164th St",,,"North Miami Beach",FL,"Miami-Dade County",33162,US,"Miami-Dade County"
"1584 NORMANDY VILLAGE PKWY #29",JACKSONVILLE,FL,32221,30.292805,-81.773675,1,rooftop,1584,"Normandy Village Pkwy",Ste,29,Jacksonville,FL,"Duval County",32221,US,Duval
"1107 MYRA ST STE 101",JACKSONVILLE,FL,32204,30.323539,-81.681068,0.33,place,,,,,Jacksonville,FL,"Duval County",32204,US,"TIGER/Line® dataset from the US Census Bureau"
"99 NE 8TH ST",HOMESTEAD,FL,33030,25.477617,-80.475856,1,rooftop,99,"NE 8th St",,,Homestead,FL,"Miami-Dade County",33030,US,"Miami-Dade County"
"8888 NAVARRE PKWY",NAVARRE,FL,32566,30.40578,-86.851676,1,rooftop,8888,"Navarre Pkwy",,,Navarre,FL,"Santa Rosa County",32566,US,"Santa Rosa"
"4774 SOUTH FLORIDA AVENUE",LAKELAND,FL,33813,27.976725,-81.956199,1,rooftop,4774,"Florida Ave S",,,Lakeland,FL,"Polk County",33813,US,Polk
"8661 S US HWY 1","PORT SAINT LUCIE",FL,34952,27.310309,-80.312522,1,rooftop,8661,"S US Highway 1",,,"Port Saint Lucie",FL,"St. Lucie County",34952,US,"St Lucie"
"5401 CORPORATE WOODS DR STE 850",PENSACOLA,FL,32504,30.475418,-87.200469,1,rooftop,5401,"Corporate Woods Dr",Ste,850,Pensacola,FL,"Escambia County",32504,US,Statewide2
"6264 N FEDERAL HWY","FORT LAUDERDALE",FL,33308,26.205353,-80.107682,1,rooftop,6264,"N Federal Hwy",,,"Fort Lauderdale",FL,"Broward County",33308,US,"City of Fort Lauderdale"
"6625 HILLWAY CIRCLE",NAPLES,FL,34112,26.137619,-81.734117,1,rooftop,6625,"Hillway Cir",,,Naples,FL,"Collier County",34112,US,"Collier County"
"1711 35TH STREET #109",ORLANDO,FL,32839,28.507374,-81.402302,1,rooftop,1711,"35th St",Ste,109,Orlando,FL,"Orange County",32839,US,Loveland
"1250 NW 7TH ST STE 106",MIAMI,FL,33125,25.779837,-80.215972,1,rooftop,1250,"NW 7th St",Ste,106,Miami,FL,"Miami-Dade County",33125,US,"Miami-Dade County"
"160 NW 176TH ST #100",MIAMI,FL,33169,25.935623,-80.204166,1,rooftop,160,"NW 176th St",Ste,100,Miami,FL,"Miami-Dade County",33169,US,"Miami-Dade County"
"15300 JOG ROAD","DELRAY BEACH",FL,33446,26.449159,-80.146917,1,range_interpolation,15300,"Jog Rd",,,"Delray Beach",FL,"Palm Beach County",33446,US,"TIGER/Line® dataset from the US Census Bureau"
"4833 SUN N LAKES BLVD",SEBRING,FL,33872,27.53394,-81.51416,1,rooftop,4833,"Sun N Lake Blvd",,,Sebring,FL,"Highlands County",33872,US,Statewide2
"4515 GEORGE RD SUITE 300",TAMPA,FL,33634,27.984641,-82.5493,1,rooftop,4515,"George Rd",Ste,300,Tampa,FL,"Hillsborough County",33634,US,"Hillsborough County"
"1944 ATLANTIC BLVD",JACKSONVILLE,FL,32207,30.307572,-81.647073,1,rooftop,1944,"Atlantic Blvd",,,Jacksonville,FL,"Duval County",32207,US,Duval
"244 NORTH 3RD STREET",MACCLENNY,FL,32063,30.286208,-82.119687,1,rooftop,244,"N 3rd St",,,Macclenny,FL,"Baker County",32063,US,Statewide2
"1424 US HWY 1 SUITE C",SEBASTIAN,FL,32958,27.819754,-80.470187,1,rooftop,1424,"US Highway 1",Ste,1,Sebastian,FL,"Indian River County",32958,US,Loveland
"8333 NORTH DAVIS HIGHWAY",PENSACOLA,FL,32514,30.51492,-87.21716,1,rooftop,8333,"N Davis Hwy",,,Pensacola,FL,"Escambia County",32514,US,Statewide2
"PEDIATRIC DIALYSIS",TAMPA,FL,33601,27.996097,-82.582035,1,place,,,,,Tampa,FL,"Hillsborough County",33601,US,"TIGER/Line® dataset from the US Census Bureau"
"3132 SAINT JOHNS BLUFF RD S",JACKSONVILLE,FL,32246,30.290344,-81.525848,1,rooftop,3132,"St Johns Bluff Rd S",,,Jacksonville,FL,"Duval County",32246,US,Statewide2
"640 EXECUTIVE PARK COURT",APOPKA,FL,32703,28.667845,-81.447258,1,rooftop,640,"Executive Park Ct",,,Apopka,FL,"Seminole County",32703,US,Loveland
"1951 N.W. 7TH. AVE. SUITE 500",MIAMI,FL,33136,25.794616,-80.20675,1,rooftop,1951,"NW 7th Ave",Ste,500,Miami,FL,"Miami-Dade County",33136,US,"Miami-Dade County"
"5135 ADANSON ST STE 700",ORLANDO,FL,32804,28.605489,-81.392689,1,rooftop,5135,"Adanson St",Ste,700,Orlando,FL,"Orange County",32804,US,Loveland
"3850 NW 83RD STREET STE 101",GAINESVILLE,FL,32606,29.688451,-82.431683,1,rooftop,3850,"NW 83rd St",Ste,101,Gainesville,FL,"Alachua County",32606,US,"City of Gainesville"
"3501 CORTEZ RD W",BRADENTON,FL,34210,27.461256,-82.597849,1,rooftop,3501,"Cortez Rd W",,,Bradenton,FL,"Manatee County",34210,US,"Manatee County"
"720 CLYDE MORRIS BLVD","DAYTONA BEACH",FL,32114,29.211702,-81.061643,0.9,rooftop,720,"N Clyde Morris Blvd",,,"Daytona Beach",FL,"Volusia County",32114,US,"Volusia County"
"5902 POINTE WEST BLVD",BRADENTON,FL,34209,27.479775,-82.620901,1,rooftop,5902,"Pointe West Blvd",,,Bradenton,FL,"Manatee County",34209,US,"Manatee County"
"598 FAIRFIELD DRIVE",PENSACOLA,FL,32506,30.417174,-87.316819,0.9,rooftop,598,"N Fairfield Dr",,,Pensacola,FL,"Escambia County",32506,US,Escambia
"1305 W MORENO ST",PENSACOLA,FL,32501,30.428782,-87.234104,1,rooftop,1305,"W Moreno St",,,Pensacola,FL,"Escambia County",32501,US,Statewide2
"118 WEST MAIN",PERRY,FL,32347,30.117921,-83.582225,1,rooftop,118,"W Main St",,,Perry,FL,"Taylor County",32347,US,Statewide2
"1680 OSCEOLA ELEMENTARY ROAD SUITE B","SAINT AUGUSTINE",FL,32084,29.871029,-81.337074,1,rooftop,1680,"Osceola Elementary Rd",Ste,B,"Saint Augustine",FL,"St. Johns County",32084,US,"St Johns"
"1301 S ANDREWS AVE","FORT LAUDERDALE",FL,33315,26.105647,-80.143311,1,rooftop,1301,"S Andrews Ave",,,"Fort Lauderdale",FL,"Broward County",33315,US,Broward
"5151 N 9TH AVE",PENSACOLA,FL,32504,30.478312,-87.213353,1,rooftop,5151,"N 9th Ave",,,Pensacola,FL,"Escambia County",32504,US,Loveland
"601 N FLAMINGO ROAD STE 109",HOLLYWOOD,FL,33028,26.01221,-80.31188,1,rooftop,601,"N Flamingo Rd",Ste,109,"Pembroke Pines",FL,"Broward County",33028,US,Statewide2
"510 N MCARTHUR AVE","PANAMA CITY",FL,32401,30.15782,-85.648631,1,rooftop,510,"Mac Arthur Ave N",,,"Panama City",FL,"Bay County",32401,US,Loveland
"2501 OHIO AVE","FORT PIERCE",FL,34950,27.432566,-80.350896,1,rooftop,2501,"Ohio Ave",,,"Fort Pierce",FL,"St. Lucie County",34950,US,"MapWise (and individual Florida counties)"
"2655 W ATLANTIC AVE","DELRAY BEACH",FL,33445,26.458934,-80.100814,1,rooftop,2655,"W Atlantic Ave",,,"Delray Beach",FL,"Palm Beach County",33445,US,"Palm Beach County"
"2575 S VOLUSIA AVE #400","ORANGE CITY",FL,32763,28.914486,-81.302605,1,rooftop,2575,"S Volusia Ave",#,400,"Orange City",FL,"Volusia County",32763,US,"Volusia County"
"419 E FIRST ST",SANFORD,FL,32771,28.811113,-81.264175,1,rooftop,419,"E 1st St",,,Sanford,FL,"Seminole County",32771,US,Seminole
"1905 CLINT MOORE RD STE 211","BOCA RATON",FL,33496,26.40853,-80.125772,1,rooftop,1905,"Clint Moore Rd",Ste,211,"Boca Raton",FL,"Palm Beach County",33496,US,"Palm Beach County"
"5340 USEPPA DRIVE SUITE 101","AVE MARIA",FL,34142,26.322656,-81.438346,1,rooftop,5340,"Useppa Dr",Ste,101,"Ave Maria",FL,"Collier County",34142,US,"Collier County"
"425 N LEE STREET SUITE 103",JACKSONVILLE,FL,32204,30.332046,-81.668348,1,rooftop,425,"Lee St N",Ste,103,Jacksonville,FL,"Duval County",32204,US,Duval
"615 HWY 231","PANAMA CITY",FL,32405,30.182107,-85.653016,1,rooftop,615,"Highway 231",,,"Panama City",FL,"Bay County",32405,US,"Bay County"
"264 SOUTHPARK CIR E","SAINT AUGUSTINE",FL,32086,29.862802,-81.325296,1,rooftop,264,"Southpark Cir E",,,"Saint Augustine",FL,"St. Johns County",32086,US,Statewide2
"2000 HARTMAN RD","FORT PIERCE",FL,34947,27.428887,-80.36632,1,rooftop,2000,"Hartman Rd",,,"Fort Pierce",FL,"St. Lucie County",34947,US,"St Lucie"
"219 NW 12TH AVE #C4",MIAMI,FL,33128,25.775815,-80.214344,1,rooftop,219,"NW 12th Ave",#,C4,Miami,FL,"Miami-Dade County",33128,US,"Miami-Dade County"
"289A SW RANGE AVE",MADISON,FL,32340,30.466549,-83.413104,0.9,rooftop,289,"SW Range Ave",,,Madison,FL,"Madison County",32340,US,Statewide2
"8470 COOPER CREEK BLVD","UNIVERSITY PARK",FL,34201,27.39285,-82.453545,0.76,nearest_rooftop_match,8502,"Cooper Creek Blvd Blvd",,,Bradenton,FL,"Manatee County",34201,US,Statewide2
"3501 JOHNSON ST",HOLLYWOOD,FL,33021,26.019816,-80.177876,1,rooftop,3501,"Johnson St",,,Hollywood,FL,"Broward County",33021,US,Broward
"9332 STATE ROAD 54",TRINITY,FL,34655,28.20388,-82.66777,1,rooftop,9332,"State Road 54",,,"New Port Richey",FL,"Pasco County",34655,US,Statewide2
"5705 LEE BLVD #16","LEHIGH ACRES",FL,33971,26.620117,-81.760017,1,rooftop,5705,"Lee Blvd",Ste,16,"Lehigh Acres",FL,"Lee County",33971,US,Loveland
"6450 SEMINOLE BLVD",SEMINOLE,FL,33772,27.830945,-82.787377,1,rooftop,6450,"Seminole Blvd",,,Seminole,FL,"Pinellas County",33772,US,"Pinellas County"
"26585 S DIXIE HIGHWAY",HOMESTEAD,FL,33032,25.51982,-80.425348,1,rooftop,26585,"S Dixie Hwy",,,Homestead,FL,"Miami-Dade County",33032,US,"Miami-Dade County"
"3863 W BROWARD BLVD","FT. LAUDERDALE",FL,33312,26.121091,-80.200128,0.9,rooftop,3863,"W Broward Blvd",,,"Fort Lauderdale",FL,"Broward County",33311,US,Statewide2
"1607 PHYSICIANS DR",TALLAHASSEE,FL,32308,30.460258,-84.258028,1,rooftop,1607,"Physicians Dr",,,Tallahassee,FL,"Leon County",32308,US,Leon
"6541 ST JOHN AVE",PALATKA,FL,32177,29.64812,-81.69192,1,rooftop,6541,"St Johns Ave",,,Palatka,FL,"Putnam County",32177,US,Statewide2
"9835 LAKE WORTH RD STE 13","LAKE WORTH",FL,33467,26.618412,-80.201231,1,rooftop,9835,"Lake Worth Rd",Ste,13,"Lake Worth",FL,"Palm Beach County",33467,US,"Palm Beach County"
"2985  LANDOVER BLVD","SPRING HILL",FL,34608,28.483812,-82.546197,1,rooftop,2985,"Landover Blvd",,,"Spring Hill",FL,"Hernando County",34608,US,Hernando
"2850 34TH STREET S","SAINT PETERSBURG",FL,33711,27.742078,-82.678255,1,rooftop,2850,"34th St S",,,"Saint Petersburg",FL,"Pinellas County",33711,US,"Pinellas County"
"444 W MADISON ST",STARKE,FL,32091,29.944277,-82.11321,1,rooftop,444,"W Madison St",,,Starke,FL,"Bradford County",32091,US,Statewide2
"116 STURTEVANT ST STE 2",ORLANDO,FL,32806,28.52495,-81.380767,1,rooftop,116,"Sturtevant St",Ste,2,Orlando,FL,"Orange County",32806,US,Statewide2
"8524 NW 103RD ST",HIALEAH,FL,33016,25.868419,-80.336983,1,rooftop,8524,"NW 103rd St",,,Hialeah,FL,"Miami-Dade County",33016,US,"Miami-Dade County"
"1711 ALTON ROAD","MIAMI BEACH",FL,33139,25.792551,-80.14114,1,range_interpolation,1711,"Alton Rd",,,"Miami Beach",FL,"Miami-Dade County",33139,US,"TIGER/Line® dataset from the US Census Bureau"
"2700 IMOKALEE ROAD",NAPLES,FL,34110,26.2724,-81.76725,1,rooftop,2700,"Immokalee Rd",,,Naples,FL,"Collier County",34110,US,Statewide2
"11705 SAN JOSE BLVD",JACKSONVILLE,FL,32223,30.158857,-81.631577,1,rooftop,11705,"San Jose Blvd",,,Jacksonville,FL,"Duval County",32223,US,Duval
"7950 SW 30TH STREET",DAVIE,FL,33328,26.083215,-80.252268,1,rooftop,7950,"SW 30th St",,,Davie,FL,"Broward County",33328,US,Broward
"1500 N FEDERAL HWY #100","FORT LAUDERDALE",FL,33304,26.146732,-80.119734,1,rooftop,1500,"N Federal Hwy",Ste,100,"Fort Lauderdale",FL,"Broward County",33304,US,Broward
"515 E. BELLA VISTA ST.",LAKELAND,FL,33805,28.069529,-81.952739,1,rooftop,515,"Bella Vista St E",,,Lakeland,FL,"Polk County",33805,US,Polk
"420 S NOVA RD SUITE 7","ORMOND BEACH",FL,32174,29.270173,-81.082335,1,rooftop,420,"S Nova Rd",Ste,7,"Ormond Beach",FL,"Volusia County",32174,US,"Volusia County"
"1711 5TH STREET SOUTH","JACKSONVILLE BEACH",FL,32250,30.272054,-81.39044,1,rooftop,1711,"5th St S",,,"Jacksonville Beach",FL,"Duval County",32250,US,Duval
"2611 POINSETTIA AVE","WEST PALM BEACH",FL,33407,26.73673,-80.053131,1,rooftop,2611,"Poinsettia Ave",,,"West Palm Beach",FL,"Palm Beach County",33407,US,"Palm Beach County"
"14153 YOSEMITE DR STE 102",HUDSON,FL,34667,28.36317,-82.686885,1,rooftop,14153,"Yosemite Dr",Ste,102,Hudson,FL,"Pasco County",34667,US,Statewide2
"110 PATTERSON RD","HAINES CITY",FL,33844,28.14435,-81.63695,1,rooftop,110,"Patterson Rd",,,"Haines City",FL,"Polk County",33844,US,Polk
"2070 PALMETTO ST",MIDDLEBURG,FL,32068,30.072186,-81.863459,1,rooftop,2070,"Palmetto St",,,Middleburg,FL,"Clay County",32068,US,"Clay County"
"4407 VINELAND RD",ORLANDO,FL,32811,28.49908,-81.43222,1,rooftop,4407,"Vineland Rd",,,Orlando,FL,"Orange County",32811,US,Statewide2
"2800 N STATE ROAD 7",MARGATE,FL,33063,26.261151,-80.200952,1,rooftop,2800,"N State Rd 7",,,"Pompano Beach",FL,"Broward County",33063,US,Broward
"650 34TH ST S","SAINT PETERSBURG",FL,33711,27.764048,-82.67898,1,rooftop,650,"34th St S",,,"Saint Petersburg",FL,"Pinellas County",33711,US,"Pinellas County"
"11301 OKEECHOBEE BLVD","ROYAL PALM BEACH",FL,33411,26.70773,-80.221954,1,rooftop,11301,"Okeechobee Blvd",,,"Royal Palm Beach",FL,"Palm Beach County",33411,US,"Palm Beach County"
"200 SW NATURA AVE","DEERFIELD BEACH",FL,33441,26.315381,-80.112778,1,rooftop,200,"SW Natura Ave",,,"Deerfield Beach",FL,"Broward County",33441,US,Broward
"821 STATE ROAD 44","NEW SMYRNA BEACH",FL,32168,29.01982,-80.9304,1,rooftop,821,"State Road 44",,,"New Smyrna Beach",FL,"Volusia County",32168,US,"Volusia County"
"7059 NW 88TH AVE",TAMARAC,FL,33321,26.210054,-80.268842,1,rooftop,7059,"NW 88th Ave",,,Tamarac,FL,"Broward County",33321,US,Statewide2
"617 LAKEVIEW ROAD SUITE B",CLEARWATER,FL,33756,27.947588,-82.797867,1,rooftop,617,"Lakeview Rd",Ste,B,Clearwater,FL,"Pinellas County",33756,US,"Pinellas County"
"7421 RIDGE ROAD","PORT RICHEY",FL,34668,28.280531,-82.690619,1,rooftop,7421,"Ridge Rd",,,"Port Richey",FL,"Pasco County",34668,US,Statewide2
"11550 RESEARCH CIR",ALACHUA,FL,32615,29.782116,-82.468954,1,rooftop,11550,"Research Cir",,,Alachua,FL,"Alachua County",32615,US,"City of Gainesville"
"709 SW PORT SAINT LUCIE BLVD","PORT SAINT LUCIE",FL,34953,27.309196,-80.368455,0.9,range_interpolation,709,"SW Prado Ave",,,"Port Saint Lucie",FL,"St. Lucie County",34983,US,"TIGER/Line® dataset from the US Census Bureau"
"11306 53RD ST","TEMPLE TERRACE",FL,33617,28.051369,-82.396102,0.9,rooftop,11306,"N 53rd St",,,"Temple Terrace",FL,"Hillsborough County",33617,US,"Hillsborough County"
"501 6TH AVE S","SAINT PETERSBURG",FL,33701,27.764641,-82.641003,1,rooftop,501,"6th Ave S",,,"Saint Petersburg",FL,"Pinellas County",33701,US,"Pinellas County"
"849 N NOB HILL RD",PLANTATION,FL,33324,26.133594,-80.287452,1,rooftop,849,"N Nob Hill Rd",,,Plantation,FL,"Broward County",33324,US,Statewide2
"801 GARDEN ST",TITUSVILLE,FL,32796,28.615029,-80.81435,1,rooftop,801,"Garden St",,,Titusville,FL,"Brevard County",32796,US,Loveland
"2860 SE 1ST AVE",OCALA,FL,34471,29.159111,-82.133671,1,rooftop,2860,"SE 1st Ave",,,Ocala,FL,"Marion County",34471,US,Statewide2
"2501 DYKES RD SUITE 200",MIRAMAR,FL,33027,25.986329,-80.359837,1,range_interpolation,2501,"Dykes Rd",Ste,200,Hollywood,FL,"Broward County",33027,US,"TIGER/Line® dataset from the US Census Bureau"
"9143 PHILIPS HWY SUITE 110",JACKSONVILLE,FL,32256,30.201067,-81.571503,1,rooftop,9143,"Philips Hwy",Ste,110,Jacksonville,FL,"Duval County",32256,US,Duval
"2348 SE OCEAN BLVD",STUART,FL,34996,27.195879,-80.221514,1,rooftop,2348,"SE Ocean Blvd",,,Stuart,FL,"Martin County",34996,US,Martin
"8770 SW 144TH ST",MIAMI,FL,33176,25.635714,-80.335537,1,rooftop,8770,"SW 144th St",,,"Palmetto Bay",FL,"Miami-Dade County",33176,US,"Miami-Dade County"
"13500 N KENDALL DR #131",MIAMI,FL,33186,25.684956,-80.413903,0.4,rooftop,13500,"SW Kendall St",#,131,Miami,FL,"Miami-Dade County",33186,US,"Miami-Dade County"
"5934 BERRY HILL ROAD #2",MILTON,FL,32570,30.636518,-87.076174,0.9,range_interpolation,5934,"Berryhill Rd",#,2,Milton,FL,"Santa Rosa County",32570,US,"TIGER/Line® dataset from the US Census Bureau"
"7910 US HWY 19N","PINELLAS PARK",FL,33781,27.838362,-82.714996,0.33,place,,,,,"Pinellas Park",FL,"Pinellas County",33781,US,"TIGER/Line® dataset from the US Census Bureau"
"7720 US HWY 98 W","MIRAMAR BEACH",FL,32550,30.378306,-86.305691,1,rooftop,7720,"US Highway 98 W",,,"Miramar Beach",FL,"Walton County",32550,US,Walton
"2841 PGA BLVD","PALM BEACH GARDENS",FL,33410,26.845301,-80.077761,1,rooftop,2841,"Pga Blvd",,,"Palm Beach Gardens",FL,"Palm Beach County",33410,US,"Palm Beach County"
"14144 NEPHRON LN",HUDSON,FL,34667,28.363253,-82.688223,1,rooftop,14144,"Nephron Ln",,,Hudson,FL,"Pasco County",34667,US,Pasco
"5300 W FLAGLER STREET","CORAL GABLES",FL,33134,25.770935,-80.282095,1,rooftop,5300,"W Flagler St",,,"Coral Gables",FL,"Miami-Dade County",33134,US,Statewide2
"2870 SE 1ST AVE",OCALA,FL,34471,29.159099,-82.133652,1,rooftop,2870,"SE 1st Ave",,,Ocala,FL,"Marion County",34471,US,Statewide2
"1961 N. MAIN ST",GAINESVILLE,FL,32609,29.670882,-82.322878,1,rooftop,1961,"N Main St",,,Gainesville,FL,"Alachua County",32609,US,"City of Gainesville"
"7467 W SAMPLE RD","CORAL SPRINGS",FL,33065,26.272658,-80.22573,1,rooftop,7467,"W Sample Rd",,,"Coral Springs",FL,"Broward County",33065,US,Broward
